17	 1.9287e-02	 1.0706e-02	 9.9295e-03	8.2298e-03	3.3014e-01	8.2642e-02	7.6e-05	2.803	2.654
33	 1.1402e-02	 6.3987e-03	 5.8926e-03	4.9658e-03	2.1915e-01	4.6086e-02	0.000242	2.894	2.810
65	 5.9080e-03	 3.2628e-03	 3.0612e-03	2.5461e-03	1.4037e-01	2.3862e-02	0.000993	2.932	2.889
129	 2.9080e-03	 1.5760e-03	 1.5088e-03	1.2333e-03	8.4783e-02	1.1870e-02	0.003984	2.948	2.927
257	 1.4674e-03	 7.9244e-04	 7.6187e-04	6.2098e-04	4.2486e-02	5.9891e-03	0.016469	2.958	2.948
513	 7.4372e-04	 4.0204e-04	 3.8625e-04	3.1526e-04	2.2970e-02	3.0205e-03	0.072508	2.965	2.959
1025	 3.7271e-04	 2.0131e-04	 1.9360e-04	1.5792e-04	1.1499e-02	1.5136e-03	0.313082	2.968	2.965
2049	 1.8614e-04	 1.0043e-04	 9.6698e-05	7.8795e-05	5.7666e-03	7.5681e-04	1.3638	2.969	2.967
4097	 9.3124e-05	 5.0233e-05	 4.8378e-05	3.9415e-05	2.8974e-03	3.7862e-04	6.70431	2.969	2.969
