17	 8.7923e-03	 4.4075e-03	 8.1286e-03	6.1284e-03	2.0141e-01	6.9405e-02	8.2e-05	2.754	2.616
33	 4.4860e-03	 2.2094e-03	 4.1549e-03	3.0985e-03	1.2615e-01	3.6789e-02	0.000253	2.821	2.747
65	 2.1657e-03	 1.0372e-03	 2.0077e-03	1.4610e-03	8.2118e-02	1.8449e-02	0.000988	2.840	2.801
129	 1.0890e-03	 5.1966e-04	 1.0100e-03	7.3355e-04	4.1233e-02	9.3427e-03	0.003941	2.858	2.838
257	 5.5289e-04	 2.6464e-04	 5.1282e-04	3.7396e-04	2.1707e-02	4.7324e-03	0.01703	2.871	2.862
513	 2.7683e-04	 1.3240e-04	 2.5679e-04	1.8719e-04	1.1035e-02	2.3750e-03	0.073373	2.876	2.871
1025	 1.3807e-04	 6.5933e-05	 1.2808e-04	9.3242e-05	5.5364e-03	1.1880e-03	0.312455	2.877	2.875
2049	 6.9061e-05	 3.2971e-05	 6.4066e-05	4.6634e-05	2.7727e-03	5.9458e-04	1.43731	2.879	2.877
4097	 3.4564e-05	 1.6505e-05	 3.2064e-05	2.3346e-05	1.3917e-03	2.9754e-04	7.24817	2.879	2.879
