17	 1.1522e-03	 4.8112e-04	 6.0144e-04	7.1461e-04	2.1487e-02	5.1926e-03	0.005646	3.599	2.630
33	 2.6721e-04	 1.2133e-04	 1.3945e-04	1.8932e-04	1.0591e-02	1.4839e-03	0.008908	3.756	2.779
65	 7.2540e-05	 4.0773e-05	 3.7857e-05	6.5301e-05	4.5367e-03	3.9993e-04	0.028646	3.860	2.872
129	 1.2025e-05	 6.9438e-06	 6.2757e-06	1.1271e-05	1.2221e-03	9.3246e-05	0.103157	3.897	2.907
257	 1.7624e-06	 1.0087e-06	 9.1977e-07	1.6485e-06	3.6402e-04	2.2942e-05	0.376153	3.907	2.918
513	 2.5536e-07	 1.3797e-07	 1.3327e-07	2.2625e-07	1.0520e-04	6.3373e-06	1.38706	3.919	2.929
1025	 3.5345e-08	 1.8321e-08	 1.8446e-08	3.0096e-08	3.9170e-05	1.8375e-06	5.1313	3.926	2.937
2049	 5.8693e-09	 2.2048e-09	 3.0631e-09	3.6248e-09	1.9947e-05	5.4847e-07	19.6515	3.929	2.939
4097	 1.5546e-09	 3.0310e-10	 8.1134e-10	4.9853e-10	9.6193e-06	1.6470e-07	80.5357	3.930	2.940
