17	 2.3467e-02	 1.3354e-02	 1.4637e-02	1.5134e-02	1.1962e-01	4.0169e-02	8.8e-05	2.855	2.657
33	 1.2458e-02	 6.6353e-03	 7.7697e-03	7.7876e-03	8.9467e-02	2.2746e-02	0.000302	2.900	2.795
65	 7.1837e-03	 3.8566e-03	 4.4803e-03	4.6079e-03	8.5010e-02	1.4436e-02	0.001107	2.947	2.889
129	 3.7083e-03	 1.9641e-03	 2.3128e-03	2.3695e-03	6.0550e-02	7.6867e-03	0.004896	2.961	2.931
257	 1.8280e-03	 9.5476e-04	 1.1401e-03	1.1575e-03	3.3636e-02	3.8113e-03	0.02121	2.963	2.948
513	 9.2098e-04	 4.7984e-04	 5.7443e-04	5.8318e-04	1.8162e-02	1.9432e-03	0.083827	2.966	2.958
1025	 4.6588e-04	 2.4295e-04	 2.9058e-04	2.9564e-04	9.6068e-03	9.9297e-04	0.352294	2.969	2.965
2049	 2.3339e-04	 1.2164e-04	 1.4557e-04	1.4811e-04	4.9916e-03	4.9891e-04	1.66973	2.969	2.968
4097	 1.1657e-04	 6.0706e-05	 7.2711e-05	7.3939e-05	2.4839e-03	2.4956e-04	8.54243	2.970	2.969
