17	 1.6002e-04	 8.1949e-05	 9.9807e-05	9.4068e-05	1.5744e-03	6.0234e-04	0.000516	2.657	2.657
33	 4.5184e-05	 2.2196e-05	 2.8183e-05	2.6227e-05	1.0694e-03	2.4914e-04	0.001725	2.792	2.795
65	 9.7326e-06	 4.2271e-06	 6.0705e-06	5.0707e-06	5.3180e-04	6.3091e-05	0.006899	2.889	2.889
129	 9.1330e-07	 4.5778e-07	 5.6965e-07	5.5339e-07	8.5329e-05	7.1660e-06	0.027389	2.931	2.931
257	 9.7406e-08	 4.7539e-08	 6.0755e-08	5.7692e-08	9.6056e-06	7.1111e-07	0.103646	2.948	2.948
513	 1.2265e-08	 5.9587e-09	 7.6502e-09	7.2455e-09	1.3408e-06	8.7767e-08	0.417292	2.958	2.958
1025	 1.5997e-09	 7.7810e-10	 9.9780e-10	9.4708e-10	1.9714e-07	1.1369e-08	1.74619	2.965	2.965
2049	 2.0049e-10	 9.7489e-11	 1.2505e-10	1.1872e-10	2.6400e-07	1.9988e-09	7.23466	2.968	2.968
4097	 7.8816e-11	 1.2092e-11	 4.9160e-11	1.4729e-11	7.8418e-07	2.8390e-09	30.3461	2.969	2.969
