17	 8.7819e-05	 4.3722e-05	 4.5623e-05	3.3865e-05	3.7246e-03	5.6431e-04	0.000781	3.225	2.253
33	 1.7681e-05	 7.3475e-06	 9.1855e-06	5.7282e-06	1.0429e-03	1.3339e-04	0.002659	3.399	2.413
65	 1.6310e-06	 8.1597e-07	 8.4736e-07	6.3821e-07	1.7448e-04	2.2657e-05	0.009356	3.477	2.488
129	 2.5792e-07	 1.0840e-07	 1.3399e-07	8.4925e-08	5.7874e-05	5.8737e-06	0.034829	3.510	2.521
257	 5.5826e-08	 2.2596e-08	 2.9003e-08	1.7717e-08	2.2150e-05	1.7509e-06	0.139259	3.531	2.542
513	 1.3538e-08	 5.5466e-09	 7.0335e-09	4.3507e-09	8.2630e-06	5.2603e-07	0.552381	3.542	2.552
1025	 3.4211e-09	 1.4075e-09	 1.7774e-09	1.1043e-09	3.0787e-06	1.5760e-07	2.23709	3.547	2.557
2049	 8.6311e-10	 3.5694e-10	 4.4841e-10	2.8006e-10	1.3365e-06	4.7263e-08	9.10962	3.549	2.559
4097	 2.1706e-10	 9.0142e-11	 1.1277e-10	7.0732e-11	1.3568e-06	1.4421e-08	37.2714	3.551	2.561
