17	1.6392e-01	9.1162e-02	8.0431e-02	1.2113e-01	2.0250e-01	7.6888e-02	7.8e-05
33	8.2702e-02	4.4990e-02	4.1819e-02	6.6203e-02	1.0637e-01	4.0180e-02	0.000157
65	4.2645e-02	2.3338e-02	2.1891e-02	3.6222e-02	5.5958e-02	2.0430e-02	0.000606
129	2.1394e-02	1.1635e-02	1.1072e-02	1.8587e-02	3.0344e-02	1.0441e-02	0.002522
257	1.0659e-02	5.7518e-03	5.5395e-03	9.3255e-03	2.2564e-02	5.3444e-03	0.01107
513	5.3380e-03	2.8769e-03	2.7800e-03	4.6989e-03	1.5797e-02	2.7178e-03	0.05119
1025	2.6755e-03	1.4429e-03	1.3948e-03	2.3655e-03	1.1405e-02	1.3760e-03	0.238682
2049	1.3383e-03	7.2155e-04	6.9807e-04	1.1851e-03	8.3472e-03	6.9572e-04	1.18839
4097	6.6902e-04	3.6055e-04	3.4906e-04	5.9274e-04	6.1427e-03	3.5113e-04	6.28727
