17	 7.6809e-04	 3.1069e-04	 4.0094e-04	4.6151e-04	2.8713e-02	5.7511e-03	0.007421	2.657	2.657
33	 1.6458e-04	 6.8072e-05	 8.5894e-05	1.0622e-04	8.7903e-03	1.6233e-03	0.003915	2.795	2.795
65	 4.6407e-05	 2.2355e-05	 2.4219e-05	3.5805e-05	3.6330e-03	4.9246e-04	0.013808	2.889	2.889
129	 8.6166e-06	 4.0317e-06	 4.4968e-06	6.5443e-06	1.2349e-03	1.3751e-04	0.050477	2.931	2.931
257	 1.4209e-06	 6.0364e-07	 7.4154e-07	9.8651e-07	3.8956e-04	3.9189e-05	0.192723	2.948	2.948
513	 2.3479e-07	 9.2440e-08	 1.2253e-07	1.5159e-07	1.3138e-04	1.1520e-05	0.738485	2.958	2.958
1025	 4.1607e-08	 1.7364e-08	 2.1714e-08	2.8523e-08	4.5699e-05	3.4123e-06	2.86716	2.965	2.965
2049	 1.1054e-08	 3.9795e-09	 5.7686e-09	6.5427e-09	1.6062e-05	1.0099e-06	11.408	2.968	2.968
4097	 2.8794e-09	 9.8837e-10	 1.5027e-09	1.6257e-09	5.6851e-06	2.9896e-07	48.1476	2.969	2.969
