17	 1.4988e-04	 7.9115e-05	 7.7863e-05	6.1278e-05	3.1130e-03	7.5167e-04	0.000375	2.675	2.647
33	 2.0948e-05	 1.1642e-05	 1.0883e-05	9.0763e-06	9.9515e-04	1.5997e-04	0.001292	2.815	2.803
65	 2.1073e-06	 1.0513e-06	 1.0948e-06	8.2226e-07	2.1972e-04	1.7662e-05	0.005012	2.896	2.889
129	 2.1037e-07	 1.1840e-07	 1.0929e-07	9.2756e-08	2.2929e-05	1.7231e-06	0.018864	2.936	2.933
257	 2.5291e-08	 1.4055e-08	 1.3139e-08	1.1020e-08	3.0833e-06	1.9712e-07	0.072745	2.956	2.954
513	 3.0650e-09	 1.7230e-09	 1.5923e-09	1.3515e-09	4.2351e-07	2.4094e-08	0.292958	2.966	2.965
1025	 3.8461e-10	 2.1362e-10	 1.9981e-10	1.6760e-10	5.7825e-08	3.0093e-09	1.14646	2.971	2.971
2049	 4.7887e-11	 2.6610e-11	 2.4878e-11	2.0879e-11	8.0284e-09	3.7838e-10	4.71231	2.974	2.974
4097	 6.8747e-11	 3.3556e-12	 3.5716e-11	2.6330e-12	1.5396e-06	4.1961e-09	19.2685	2.975	2.975
