17	 1.5278e-04	 8.1539e-05	 1.0803e-04	9.4147e-05	1.5024e-03	5.6522e-04	0.000393	3.073	2.104
33	 4.4134e-05	 2.2095e-05	 3.1207e-05	2.6253e-05	1.0371e-03	2.4177e-04	0.001309	3.225	2.248
65	 9.4590e-06	 4.2207e-06	 6.6885e-06	5.0904e-06	5.2639e-04	6.2228e-05	0.005257	3.331	2.342
129	 8.3977e-07	 4.5735e-07	 5.9381e-07	5.5581e-07	8.4291e-05	7.0450e-06	0.023752	3.372	2.383
257	 9.2080e-08	 4.7455e-08	 6.5111e-08	5.7894e-08	9.3911e-06	6.9595e-07	0.084125	3.387	2.398
513	 1.1610e-08	 5.9464e-09	 8.2092e-09	7.2687e-09	1.3067e-06	8.6299e-08	0.33561	3.397	2.408
1025	 1.5163e-09	 7.7648e-10	 1.0722e-09	9.5007e-10	1.9483e-07	1.1313e-08	1.37827	3.404	2.414
2049	 1.9008e-10	 9.7287e-11	 1.3440e-10	1.1909e-10	2.6902e-08	1.4228e-09	5.64294	3.406	2.416
4097	 2.3582e-11	 1.2064e-11	 1.6675e-11	1.4772e-11	3.6213e-09	1.9244e-10	23.3913	3.407	2.417
