17	 1.8100e-02	 1.0287e-02	 9.3978e-03	1.5095e-02	2.5188e-01	1.0297e-01	0.000108	2.941	2.657
33	 9.0096e-03	 4.5977e-03	 4.6919e-03	7.1347e-03	1.3290e-01	5.2850e-02	0.000352	2.988	2.795
65	 5.3991e-03	 2.5641e-03	 2.8145e-03	4.0942e-03	6.8368e-02	2.7734e-02	0.001377	3.012	2.889
129	 2.9967e-03	 1.3588e-03	 1.5630e-03	2.2021e-03	3.5685e-02	1.4027e-02	0.005541	2.999	2.931
257	 1.5681e-03	 6.8945e-04	 8.1815e-04	1.1259e-03	2.2104e-02	7.0475e-03	0.022785	2.984	2.948
513	 8.0859e-04	 3.5144e-04	 4.2193e-04	5.7608e-04	1.1054e-02	3.5362e-03	0.096893	2.977	2.958
1025	 4.1158e-04	 1.7807e-04	 2.1478e-04	2.9245e-04	5.5256e-03	1.7711e-03	0.415544	2.975	2.965
2049	 2.0748e-04	 8.9470e-05	 1.0828e-04	1.4708e-04	2.7623e-03	8.8540e-04	1.8889	2.973	2.968
4097	 1.0412e-04	 4.4802e-05	 5.4339e-05	7.3686e-05	1.3811e-03	4.4260e-04	9.68993	2.971	2.969
