17	 1.6002e-04	 8.1949e-05	 9.9807e-05	9.4068e-05	1.5744e-03	6.0234e-04	0.000495	3.190	2.221
33	 4.5184e-05	 2.2196e-05	 2.8183e-05	2.6227e-05	1.0694e-03	2.4914e-04	0.001773	3.352	2.375
65	 9.7326e-06	 4.2271e-06	 6.0705e-06	5.0707e-06	5.3180e-04	6.3091e-05	0.006775	3.436	2.448
129	 9.1330e-07	 4.5778e-07	 5.6965e-07	5.5339e-07	8.5329e-05	7.1660e-06	0.024911	3.478	2.488
257	 9.7406e-08	 4.7539e-08	 6.0755e-08	5.7692e-08	9.6056e-06	7.1111e-07	0.097739	3.492	2.503
513	 1.2265e-08	 5.9587e-09	 7.6502e-09	7.2455e-09	1.3408e-06	8.7767e-08	0.391385	3.502	2.513
1025	 1.5997e-09	 7.7810e-10	 9.9780e-10	9.4708e-10	1.9714e-07	1.1369e-08	1.60092	3.509	2.519
2049	 2.0049e-10	 9.7484e-11	 1.2505e-10	1.1871e-10	2.6400e-07	1.8261e-09	6.49117	3.511	2.521
4097	 4.7718e-11	 1.2091e-11	 2.9763e-11	1.4727e-11	5.3330e-07	1.9891e-09	26.8902	3.512	2.522
