17	 1.6002e-04	 8.1949e-05	 9.9807e-05	9.4068e-05	1.5744e-03	6.0234e-04	0.000384	2.657	2.657
33	 7.9530e-05	 4.2381e-05	 4.9606e-05	5.0076e-05	1.5412e-03	3.8678e-04	0.001368	2.810	2.810
65	 9.7431e-06	 5.9171e-06	 6.0771e-06	7.0979e-06	5.3180e-04	8.7295e-05	0.005413	2.888	2.888
129	 9.1330e-07	 5.5032e-07	 5.6965e-07	6.6526e-07	1.0871e-04	9.6117e-06	0.019437	2.934	2.934
257	 1.1416e-07	 6.2722e-08	 7.1203e-08	7.6119e-08	1.2073e-05	9.9999e-07	0.07734	2.955	2.955
513	 1.3777e-08	 7.4435e-09	 8.5930e-09	9.0511e-09	1.5028e-06	1.1417e-07	0.308101	2.966	2.966
1025	 1.6623e-09	 9.1097e-10	 1.0368e-09	1.1088e-09	2.1834e-07	1.3742e-08	1.2577	2.971	2.971
2049	 2.0851e-10	 1.1279e-10	 1.3005e-10	1.3735e-10	2.6400e-07	2.3134e-09	5.16779	2.974	2.974
4097	 5.4655e-11	 1.4055e-11	 3.4090e-11	1.7119e-11	8.5050e-07	3.1630e-09	21.4548	2.975	2.975
