17	5.1167e-02	3.0308e-02	2.5968e-02	2.3036e-02	7.1e-05
33	3.2339e-02	1.9860e-02	1.6553e-02	1.5280e-02	0.000135
65	1.7189e-02	1.0643e-02	8.8584e-03	8.2646e-03	0.000549
129	8.4780e-03	5.2407e-03	4.3866e-03	4.0909e-03	0.002199
257	4.2907e-03	2.6569e-03	2.2245e-03	2.0793e-03	0.009544
513	2.1845e-03	1.3537e-03	1.1337e-03	1.0608e-03	0.043904
1025	1.0984e-03	6.7913e-04	5.7034e-04	5.3256e-04	0.1901
2049	5.4957e-04	3.3908e-04	2.8544e-04	2.6599e-04	0.868295
4097	2.7523e-04	1.6968e-04	1.4297e-04	1.3313e-04	4.43492
