17	 8.7819e-05	 4.3722e-05	 4.5623e-05	3.3865e-05	3.7246e-03	5.6431e-04	0.00074	2.702	2.654
33	 1.7681e-05	 7.3475e-06	 9.1855e-06	5.7282e-06	1.0429e-03	1.3339e-04	0.002508	2.837	2.810
65	 1.6310e-06	 8.1597e-07	 8.4736e-07	6.3821e-07	1.7448e-04	2.2657e-05	0.009085	2.903	2.889
129	 2.5792e-07	 1.0840e-07	 1.3399e-07	8.4925e-08	5.7874e-05	5.8737e-06	0.034568	2.933	2.927
257	 5.5826e-08	 2.2596e-08	 2.9003e-08	1.7717e-08	2.2150e-05	1.7509e-06	0.135781	2.951	2.948
513	 1.3538e-08	 5.5467e-09	 7.0335e-09	4.3508e-09	8.2630e-06	5.2603e-07	0.545729	2.961	2.959
1025	 3.4211e-09	 1.4075e-09	 1.7774e-09	1.1043e-09	3.0787e-06	1.5760e-07	2.23866	2.966	2.965
2049	 8.6311e-10	 3.5694e-10	 4.4841e-10	2.8006e-10	1.3365e-06	4.7263e-08	9.21134	2.968	2.967
4097	 2.1706e-10	 9.0163e-11	 1.1277e-10	7.0749e-11	1.5406e-06	1.5167e-08	38.3119	2.969	2.969
