17	 7.6809e-04	 3.1069e-04	 4.0094e-04	4.6151e-04	2.8713e-02	5.7511e-03	0.004767	3.599	2.630
33	 1.6458e-04	 6.8072e-05	 8.5894e-05	1.0622e-04	8.7903e-03	1.6233e-03	0.004427	3.759	2.782
65	 4.6407e-05	 2.2355e-05	 2.4219e-05	3.5805e-05	3.6330e-03	4.9246e-04	0.015565	3.862	2.873
129	 8.6166e-06	 4.0317e-06	 4.4968e-06	6.5443e-06	1.2349e-03	1.3751e-04	0.05744	3.897	2.907
257	 1.4209e-06	 6.0364e-07	 7.4154e-07	9.8651e-07	3.8956e-04	3.9189e-05	0.210693	3.907	2.918
513	 2.3479e-07	 9.2440e-08	 1.2253e-07	1.5159e-07	1.3138e-04	1.1520e-05	0.792839	3.919	2.929
1025	 4.1607e-08	 1.7364e-08	 2.1714e-08	2.8523e-08	4.5699e-05	3.4123e-06	3.08472	3.926	2.937
2049	 1.1054e-08	 3.9795e-09	 5.7686e-09	6.5427e-09	1.6062e-05	1.0099e-06	11.9582	3.929	2.939
4097	 2.8794e-09	 9.8837e-10	 1.5027e-09	1.6257e-09	5.6851e-06	2.9896e-07	50.0659	3.930	2.940
