17	 1.5278e-04	 8.1539e-05	 1.0803e-04	9.4147e-05	1.5024e-03	5.6424e-04	0.000272	2.813	2.657
33	 7.7738e-05	 4.2226e-05	 5.4969e-05	5.0171e-05	1.5024e-03	3.7997e-04	0.000969	2.887	2.810
65	 9.4687e-06	 5.9008e-06	 6.6953e-06	7.1166e-06	5.2639e-04	8.6895e-05	0.003823	2.928	2.889
129	 8.3977e-07	 5.5092e-07	 5.9381e-07	6.6953e-07	1.0744e-04	9.5980e-06	0.015083	2.954	2.934
257	 1.0814e-07	 6.2664e-08	 7.6467e-08	7.6449e-08	1.1911e-05	9.9000e-07	0.062032	2.965	2.955
513	 1.3232e-08	 7.4317e-09	 9.3563e-09	9.0843e-09	1.4708e-06	1.1313e-07	0.247049	2.971	2.966
1025	 1.5831e-09	 9.0945e-10	 1.1194e-09	1.1128e-09	2.1616e-07	1.3780e-08	0.988133	2.973	2.971
2049	 1.9777e-10	 1.1260e-10	 1.3984e-10	1.3784e-10	2.7454e-08	1.7093e-09	4.21397	2.975	2.974
4097	 2.4771e-11	 1.4028e-11	 1.7516e-11	1.7176e-11	3.6729e-09	2.2511e-10	18.2507	2.976	2.975
