17	 2.4235e-05	 8.1882e-06	 2.2483e-05	1.1447e-05	2.8131e-03	6.0379e-04	0.00047	2.654	2.616
33	 3.1815e-06	 1.0251e-06	 2.9514e-06	1.4414e-06	1.0785e-03	1.6474e-04	0.001632	2.766	2.747
65	 5.7895e-07	 1.8250e-07	 5.3708e-07	2.5739e-07	3.8379e-04	4.7693e-05	0.006304	2.811	2.801
129	 1.2713e-07	 4.3125e-08	 1.1794e-07	6.0912e-08	1.4036e-04	1.4231e-05	0.023965	2.843	2.838
257	 3.6376e-08	 1.0743e-08	 3.3745e-08	1.5186e-08	4.9557e-05	4.2583e-06	0.095147	2.864	2.862
513	 9.9054e-09	 2.6943e-09	 9.1892e-09	3.8098e-09	1.7639e-05	1.2753e-06	0.377672	2.872	2.871
1025	 2.6162e-09	 6.7596e-10	 2.4270e-09	9.5601e-10	6.2860e-06	3.8143e-07	1.57446	2.876	2.875
2049	 6.7796e-10	 1.6953e-10	 6.2893e-10	2.3979e-10	9.4070e-06	1.1408e-07	6.57848	2.878	2.877
4097	 1.7362e-10	 4.2493e-11	 1.6106e-10	6.0107e-11	2.8315e-06	3.5075e-08	28.5106	2.879	2.879
