17	 8.4159e-05	 4.3291e-05	 4.3722e-05	3.3532e-05	2.7968e-03	5.1556e-04	0.000476	2.702	2.654
33	 1.8423e-05	 7.5491e-06	 9.5713e-06	5.8853e-06	9.8276e-04	1.2043e-04	0.001732	2.837	2.810
65	 1.6640e-06	 8.2053e-07	 8.6451e-07	6.4178e-07	1.5911e-04	1.3459e-05	0.006705	2.903	2.889
129	 1.7853e-07	 8.5438e-08	 9.2752e-08	6.6935e-08	1.8284e-05	1.2200e-06	0.026386	2.933	2.927
257	 2.2533e-08	 1.0718e-08	 1.1706e-08	8.4037e-09	2.5520e-06	1.4974e-07	0.099483	2.951	2.948
513	 2.9454e-09	 1.4003e-09	 1.5302e-09	1.0984e-09	3.8277e-07	1.9638e-08	0.398163	2.961	2.959
1025	 3.6932e-10	 1.7551e-10	 1.9187e-10	1.3770e-10	5.3934e-08	2.4817e-09	1.65863	2.966	2.965
2049	 4.5812e-11	 2.1762e-11	 2.3800e-11	1.7075e-11	7.6834e-07	2.0218e-09	6.83597	2.968	2.967
4097	 6.5812e-11	 2.7988e-12	 3.4191e-11	2.1961e-12	1.5396e-06	4.9225e-09	28.3122	2.969	2.969
