17	 2.0349e-05	 1.1075e-05	 1.8878e-05	1.5483e-05	1.0657e-03	3.6073e-04	0.000568	2.616	2.588
33	 2.1378e-06	 9.7955e-07	 1.9832e-06	1.3774e-06	3.7468e-04	6.7067e-05	0.001973	2.758	2.746
65	 3.4347e-07	 1.2066e-07	 3.1864e-07	1.7017e-07	1.3030e-04	1.6744e-05	0.00716	2.832	2.825
129	 5.7899e-08	 1.8797e-08	 5.3712e-08	2.6550e-08	4.7180e-05	4.8285e-06	0.028093	2.868	2.864
257	 1.1529e-08	 3.8687e-09	 1.0695e-08	5.4685e-09	1.6583e-05	1.4307e-06	0.112573	2.887	2.885
513	 3.1888e-09	 9.1998e-10	 2.9582e-09	1.3009e-09	5.8888e-06	4.2706e-07	0.426775	2.896	2.895
1025	 8.5665e-10	 2.2826e-10	 7.9470e-10	3.2283e-10	2.0969e-06	1.2758e-07	1.7277	2.901	2.901
2049	 2.2379e-10	 5.7133e-11	 2.0761e-10	8.0811e-11	7.4449e-07	3.8089e-08	7.22377	2.903	2.903
4097	 6.2914e-11	 1.4316e-11	 5.8365e-11	2.0250e-11	2.6262e-06	1.2839e-08	30.403	2.905	2.904
