17	 1.6088e-04	 8.1942e-05	 1.0035e-04	9.4060e-05	1.5525e-03	6.0447e-04	0.001058	3.190	2.221
33	 4.5562e-05	 2.2200e-05	 2.8419e-05	2.6231e-05	1.0603e-03	2.4947e-04	0.003776	3.352	2.375
65	 9.9013e-06	 4.2287e-06	 6.1757e-06	5.0726e-06	5.3341e-04	6.3218e-05	0.014413	3.436	2.448
129	 9.6891e-07	 4.5851e-07	 6.0434e-07	5.5427e-07	8.5016e-05	7.2373e-06	0.054714	3.478	2.488
257	 1.0978e-07	 4.7861e-08	 6.8474e-08	5.8083e-08	2.2771e-05	8.3509e-07	0.214773	3.492	2.503
513	 1.5462e-08	 6.1073e-09	 9.6443e-09	7.4263e-09	1.4037e-06	1.3333e-07	0.859802	3.502	2.513
1025	 2.4360e-09	 8.4735e-10	 1.5194e-09	1.0314e-09	6.2902e-06	4.2559e-08	3.49125	3.509	2.519
2049	 4.2275e-10	 1.2881e-10	 2.6368e-10	1.5686e-10	1.4089e-06	1.1276e-08	13.2443	3.511	2.521
4097	 1.2499e-10	 2.4374e-11	 7.7959e-11	2.9689e-11	1.9226e-06	7.2664e-09	53.1122	3.512	2.522
